[2023-03-21 01:25:32 PM-train.py-INFO:epoch: 1, dataset: CVC-300, dice: 0.3315549999999997]
[2023-03-21 01:25:34 PM-train.py-INFO:epoch: 1, dataset: CVC-ClinicDB, dice: 0.4457483870967741]
[2023-03-21 01:25:38 PM-train.py-INFO:epoch: 1, dataset: Kvasir, dice: 0.5810550000000001]
[2023-03-21 01:25:53 PM-train.py-INFO:epoch: 1, dataset: CVC-ColonDB, dice: 0.36045947368421094]
[2023-03-21 01:26:15 PM-train.py-INFO:epoch: 1, dataset: ETIS-LaribPolypDB, dice: 0.29629999999999995]
[2023-03-21 01:26:15 PM-train.py-INFO:##############################################################################best:2.0151178607809848 0.40302357215619694]
[2023-03-21 01:29:48 PM-train.py-INFO:epoch: 2, dataset: CVC-300, dice: 0.7254633333333335]
[2023-03-21 01:29:49 PM-train.py-INFO:epoch: 2, dataset: CVC-ClinicDB, dice: 0.7614467741935484]
[2023-03-21 01:29:53 PM-train.py-INFO:epoch: 2, dataset: Kvasir, dice: 0.8035690000000002]
[2023-03-21 01:30:09 PM-train.py-INFO:epoch: 2, dataset: CVC-ColonDB, dice: 0.6346892105263163]
[2023-03-21 01:30:30 PM-train.py-INFO:epoch: 2, dataset: ETIS-LaribPolypDB, dice: 0.542709693877551]
[2023-03-21 01:30:30 PM-train.py-INFO:##############################################################################best:3.467878011930749 0.6935756023861498]
[2023-03-21 01:34:02 PM-train.py-INFO:epoch: 3, dataset: CVC-300, dice: 0.783165]
[2023-03-21 01:34:03 PM-train.py-INFO:epoch: 3, dataset: CVC-ClinicDB, dice: 0.8131258064516126]
[2023-03-21 01:34:08 PM-train.py-INFO:epoch: 3, dataset: Kvasir, dice: 0.8354529999999998]
[2023-03-21 01:34:23 PM-train.py-INFO:epoch: 3, dataset: CVC-ColonDB, dice: 0.6978818421052639]
[2023-03-21 01:34:45 PM-train.py-INFO:epoch: 3, dataset: ETIS-LaribPolypDB, dice: 0.605879081632653]
[2023-03-21 01:34:45 PM-train.py-INFO:##############################################################################best:3.735504730189529 0.7471009460379058]
[2023-03-21 01:38:18 PM-train.py-INFO:epoch: 4, dataset: CVC-300, dice: 0.7789116666666663]
[2023-03-21 01:38:19 PM-train.py-INFO:epoch: 4, dataset: CVC-ClinicDB, dice: 0.8357112903225806]
