[2023-03-20 04:13:39 PM-train.py-INFO:epoch: 1, dataset: CVC-300, dice: 0.7640616666666668]
[2023-03-20 04:13:42 PM-train.py-INFO:epoch: 1, dataset: CVC-ClinicDB, dice: 0.7367629032258065]
[2023-03-20 04:13:47 PM-train.py-INFO:epoch: 1, dataset: Kvasir, dice: 0.7977239999999999]
[2023-03-20 04:14:07 PM-train.py-INFO:epoch: 1, dataset: CVC-ColonDB, dice: 0.6350257894736835]
[2023-03-20 04:14:31 PM-train.py-INFO:epoch: 1, dataset: ETIS-LaribPolypDB, dice: 0.5177423469387755]
[2023-03-20 04:14:31 PM-train.py-INFO:##############################################################################best:3.451316706304932 0.6902633412609864]
[2023-03-20 04:18:19 PM-train.py-INFO:epoch: 2, dataset: CVC-300, dice: 0.7650383333333335]
[2023-03-20 04:18:21 PM-train.py-INFO:epoch: 2, dataset: CVC-ClinicDB, dice: 0.8258887096774195]
[2023-03-20 04:18:27 PM-train.py-INFO:epoch: 2, dataset: Kvasir, dice: 0.8052170000000001]
[2023-03-20 04:18:47 PM-train.py-INFO:epoch: 2, dataset: CVC-ColonDB, dice: 0.6572731578947375]
[2023-03-20 04:19:10 PM-train.py-INFO:epoch: 2, dataset: ETIS-LaribPolypDB, dice: 0.6047857142857139]
[2023-03-20 04:19:10 PM-train.py-INFO:##############################################################################best:3.658202915191204 0.7316405830382408]
[2023-03-20 04:22:56 PM-train.py-INFO:epoch: 3, dataset: CVC-300, dice: 0.8407933333333334]
[2023-03-20 04:22:58 PM-train.py-INFO:epoch: 3, dataset: CVC-ClinicDB, dice: 0.8872693548387095]
[2023-03-20 04:23:04 PM-train.py-INFO:epoch: 3, dataset: Kvasir, dice: 0.8743619999999998]
[2023-03-20 04:23:24 PM-train.py-INFO:epoch: 3, dataset: CVC-ColonDB, dice: 0.7713034210526308]
[2023-03-20 04:23:47 PM-train.py-INFO:epoch: 3, dataset: ETIS-LaribPolypDB, dice: 0.709029591836735]
[2023-03-20 04:23:47 PM-train.py-INFO:##############################################################################best:4.082757701061409 0.8165515402122818]
[2023-03-20 04:27:38 PM-train.py-INFO:epoch: 4, dataset: CVC-300, dice: 0.8580133333333336]
[2023-03-20 04:27:41 PM-train.py-INFO:epoch: 4, dataset: CVC-ClinicDB, dice: 0.8729725806451613]
[2023-03-20 04:27:46 PM-train.py-INFO:epoch: 4, dataset: Kvasir, dice: 0.8937130000000001]
[2023-03-20 04:28:06 PM-train.py-INFO:epoch: 4, dataset: CVC-ColonDB, dice: 0.7505307894736839]
[2023-03-20 04:28:30 PM-train.py-INFO:epoch: 4, dataset: ETIS-LaribPolypDB, dice: 0.7457602040816325]
[2023-03-20 04:28:30 PM-train.py-INFO:##############################################################################best:4.1209899075338114 0.8241979815067623]
[2023-03-20 04:32:19 PM-train.py-INFO:epoch: 5, dataset: CVC-300, dice: 0.8759066666666665]
[2023-03-20 04:32:22 PM-train.py-INFO:epoch: 5, dataset: CVC-ClinicDB, dice: 0.868024193548387]
[2023-03-20 04:32:27 PM-train.py-INFO:epoch: 5, dataset: Kvasir, dice: 0.8489750000000003]
[2023-03-20 04:32:47 PM-train.py-INFO:epoch: 5, dataset: CVC-ColonDB, dice: 0.6930771052631579]
[2023-03-20 04:33:11 PM-train.py-INFO:epoch: 5, dataset: ETIS-LaribPolypDB, dice: 0.7299331632653063]
